update,action_saturation,approx_kl,c_frac_env,clip_frac,entropy,explained_variance,grad_norm,l_env,policy_loss,returned_episode_returns,step_reward,total_loss,value_loss
568,0.0,0.008434333,0.16627459,0.106001556,-3.97902,0.6549927,78.396965,0.0,0.003326401,170.10373,0.8542012,1.3198241,2.6329951
569,0.0,0.0058976696,0.16636147,0.07245,-3.9806848,0.63906777,61.512688,0.0,0.0019469286,170.83566,0.84962356,1.3431001,2.6823063
570,0.0,0.0056936275,0.16688746,0.07050729,-3.9818726,0.6554937,56.140858,0.0,0.0018332121,169.92627,0.85116756,1.330233,2.6567998
571,0.0,0.005922019,0.16630363,0.07362292,-3.9836662,0.63542247,58.35621,0.0,0.0020943033,170.23297,0.85060155,1.3629605,2.7217326
572,0.0,0.0063036624,0.16734667,0.08046562,-3.9859092,0.6439564,65.91787,0.0,0.00222091,170.11446,0.8447483,1.3347884,2.665135
573,0.0,0.0044611227,0.16675027,0.052725524,-3.9877243,0.64703864,48.244587,0.0,0.001301215,168.95464,0.8497201,1.3296726,2.6567426
574,0.0,0.0068382053,0.16742347,0.08916041,-3.9888852,0.64944327,72.54602,0.0,0.0022959262,169.93713,0.8428256,1.3198833,2.635175
575,0.0,0.004399115,0.16795915,0.05231771,-3.9898636,0.6622485,47.400635,0.0,0.0013552398,168.56874,0.8464479,1.3193351,2.6359599
576,0.0,0.0060667465,0.16760089,0.0773125,-3.99194,0.6599413,63.83477,0.0,0.0019991118,169.29156,0.8484382,1.3149362,2.625874
577,0.0,0.0067885728,0.16676736,0.08526251,-3.9941154,0.6477686,68.05658,0.0,0.0026448602,169.69043,0.85122514,1.3242021,2.643114
578,0.0,0.0049276324,0.16741149,0.059703648,-3.9963093,0.65331006,51.5745,0.0,0.0014747622,170.24313,0.8493227,1.3421541,2.6813588
579,0.0,0.0066829706,0.16731133,0.083268225,-3.9970582,0.6574967,66.91857,0.0,0.0023939346,169.86636,0.8511612,1.3389809,2.673174
580,0.0,0.0056584105,0.16678469,0.07022239,-3.9978065,0.65330744,58.100815,0.0,0.0017301802,170.2356,0.85451436,1.339042,2.6746235
581,0.0,0.0067412807,0.1659743,0.08580886,-3.9986844,0.6523684,66.98935,0.0,0.0023200624,170.90717,0.8587969,1.3318489,2.6590574
582,0.0,0.0050258813,0.16699497,0.06175469,-3.9993072,0.655691,53.2075,0.0,0.0014769324,171.75047,0.84988153,1.3470509,2.6911478
583,0.0,0.0055036778,0.16607271,0.06864115,-4.000466,0.6482794,58.99781,0.0,0.0019325118,169.98148,0.85503983,1.339082,2.6742988
584,0.0,0.007405876,0.16625308,0.09537136,-4.0013666,0.64380336,77.796875,0.0,0.002895803,171.00797,0.85504764,1.3659847,2.7261777
585,0.0,0.0057656025,0.16559495,0.06961823,-4.0021725,0.6648897,60.50016,0.0,0.0019393463,171.00546,0.85098433,1.3095274,2.615176
586,0.0,0.0044205403,0.16568822,0.051752605,-4.0038037,0.6624701,48.866386,0.0,0.0012451438,170.19852,0.8526342,1.3002796,2.598069
587,0.0,0.0060190274,0.16541742,0.07838646,-4.0049505,0.65355045,65.97815,0.0,0.0019787464,170.52853,0.8543229,1.3422945,2.6806316
588,0.0,0.007357694,0.16532876,0.09513751,-4.0057316,0.64396423,79.07232,0.0,0.0029719037,170.86723,0.8569665,1.3497041,2.6934643
589,0.0,0.004619821,0.16546424,0.05402656,-4.0071115,0.634109,45.264473,0.0,0.0012209038,171.39217,0.85583985,1.3912148,2.7799878
590,0.0,0.0050550867,0.16502531,0.06098698,-4.0079513,0.645792,53.605576,0.0,0.0013938372,171.17227,0.8601582,1.3456279,2.6884682
591,0.0,0.0073869415,0.1651188,0.09471354,-4.0086813,0.65730405,75.2732,0.0,0.0026980867,172.03091,0.8594334,1.3156035,2.6258109
592,0.0,0.0038875192,0.1655974,0.0446375,-4.0096064,0.6389065,45.27535,0.0,0.0011388722,171.88579,0.85853654,1.3628883,2.723499
593,0.0,0.004749736,0.16558674,0.0585474,-4.0110445,0.6435256,54.443947,0.0,0.0014882556,171.70393,0.8551759,1.3565991,2.7102218
594,0.0,0.0040710354,0.16457064,0.047739584,-4.012043,0.65412194,43.62063,0.0,0.0009982879,171.04501,0.86500776,1.3259237,2.6498508
595,0.0,0.0043650866,0.16501002,0.05150052,-4.013159,0.658429,49.462288,0.0,0.0010942842,172.99701,0.8604604,1.319129,2.6360693
596,0.0,0.0049057193,0.16497383,0.05917083,-4.0143747,0.66182077,53.199257,0.0,0.0015070767,172.0888,0.85718524,1.2977061,2.5923982
